waypoint1	waypoint2	distance_m	duration_s
Powell Slough Waterfowl Management Area, Orem, UT	Millennium Park Path, Grand Rapids, MI	2534157	81666
De las Flores, San Quintin, Mexico	Grand Canyon National Park, AZ	1188290	44135
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Cherokee Marsh State Fishery Area, Madison, WI	1963334	66363
Lake Tahoe State Park, Nevada 28, Incline Village, NV	University of California, Santa Cruz, High Street, Santa Cruz, CA	431017	16409
Catskill Mountains, Shandaken, NY	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	4350103	144016
De las Flores, San Quintin, Mexico	Red Rocks Park, Central Avenue, South Burlington, VT	5004448	171375
Mount Whitney, Inyo County, CA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4249526	139981
Grand Teton National Park, Teton County, WY	4919 Cave Run Drive, Houston, TX	2453744	83365
The Queen Mary, Queens Highway, Long Beach, CA	Mount Whitney, Inyo County, CA	394179	14435
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Burnside Bridge, Portland, OR	4675617	153785
Zion National Park, Washington County, UT	Beacon Hill Park, Victoria, BC, Canada	2130717	76061
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Millennium Park Path, Grand Rapids, MI	947580	31755
10 Witherell Street, Detroit, MI	Cherokee Marsh State Fishery Area, Madison, WI	701119	23715
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	3236487	104042
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Catskill Mountains, Shandaken, NY	751086	27697
Cherokee Marsh State Fishery Area, Madison, WI	Golden Gate Park, San Francisco, CA	3400515	109767
Powell Slough Waterfowl Management Area, Orem, UT	Big Bend National Park, TX	1858687	65481
2131 West Cortez Street, Chicago, IL	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1157657	38799
Bonneville Salt Flats, Tooele County, UT	Catskill Mountains, Shandaken, NY	3714111	120916
Powell Slough Waterfowl Management Area, Orem, UT	Boulder Mountain Park, Boulder, CO	868120	29627
Cherry Creek State Park, South Parker Road, Aurora, CO	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	1484364	46565
Cheatham Wildlife Management Area, Ashland City, TN	Cherokee Marsh State Fishery Area, Madison, WI	996740	32936
Trancas Crossing Park, Trancas Street, Napa, CA	Catskill Mountains, Shandaken, NY	4662077	151379
Atalaya Mountain, Santa Fe, NM	4919 Cave Run Drive, Houston, TX	1360970	47400
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Congress Street, Portland, ME	3367449	111310
Cheatham Wildlife Management Area, Ashland City, TN	Catskill Mountains, Shandaken, NY	1561274	54249
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Grand Canyon National Park, AZ	2524318	82512
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Atalaya Mountain, Santa Fe, NM	1511676	49182
10 Witherell Street, Detroit, MI	Catskill Mountains, Shandaken, NY	1010895	35419
University of North Carolina at Chapel Hill, Chapel Hill, NC	Apache Cafe, 3rd Street Northwest, Atlanta, GA	608013	20615
Beacon Hill Park, Victoria, BC, Canada	Yosemite National Park, CA	1563607	62395
Millennium Park Path, Grand Rapids, MI	University of California, Santa Cruz, High Street, Santa Cruz, CA	3781557	121274
4919 Cave Run Drive, Houston, TX	Yosemite National Park, CA	2920317	93112
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3902263	125502
Indian Island, Eureka, CA	Boulder Mountain Park, Boulder, CO	2219094	75987
Trancas Crossing Park, Trancas Street, Napa, CA	10 Witherell Street, Detroit, MI	3818886	121828
10 Witherell Street, Detroit, MI	Mount Whitney, Inyo County, CA	3614322	117234
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Cheatham Wildlife Management Area, Ashland City, TN	1505479	49391
Cheatham Wildlife Management Area, Ashland City, TN	Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	2877954	92291
4919 Cave Run Drive, Houston, TX	N Dean St & E Texas St, Marfa, TX 79843	959023	30260
Big Bend National Park, TX	Indian Island, Eureka, CA	2859670	96728
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Golden Gate Park, San Francisco, CA	4542994	146689
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Congress Street, Portland, ME	4255368	137267
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Golden Gate Park, San Francisco, CA	4525836	146108
113 Mill Creek Road, South Chatham, MA	Golden Gate Park, San Francisco, CA	5114974	165682
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	113 Mill Creek Road, South Chatham, MA	1597199	55623
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Mount Whitney, Inyo County, CA	4548061	148591
2131 West Cortez Street, Chicago, IL	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3202948	104460
Cheatham Wildlife Management Area, Ashland City, TN	Pedernales Falls State Park, Park Road 6026, Johnson City, TX	1411771	47347
Burnside Bridge, Portland, OR	Golden Gate Park, San Francisco, CA	1030087	35878
Cherry Creek State Park, South Parker Road, Aurora, CO	Big Sur, Monterey County, CA	2239959	73615
Big Sur, Monterey County, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4409765	145602
Millennium Park Path, Grand Rapids, MI	Cherokee Park, Cochran Hill Road, Louisville, KY	593853	20676
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Boulder Mountain Park, Boulder, CO	1495711	47199
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1975363	65480
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	University of California, Santa Cruz, High Street, Santa Cruz, CA	4888369	158113
Big Bend National Park, TX	Discovery Park, Discovery Park Boulevard, Seattle, WA	3279246	111993
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	864744	29415
Zion National Park, Washington County, UT	Big Sur, Monterey County, CA	1050943	39103
De las Flores, San Quintin, Mexico	Cherokee Marsh State Fishery Area, Madison, WI	3621206	120306
The Queen Mary, Queens Highway, Long Beach, CA	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	4015504	129226
Millennium Park Path, Grand Rapids, MI	Catskill Mountains, Shandaken, NY	1141577	39682
Indian Island, Eureka, CA	Grand Canyon National Park, AZ	1687263	57631
Bonneville Salt Flats, Tooele County, UT	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	990693	35472
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Zion National Park, Washington County, UT	832209	28468
4919 Cave Run Drive, Houston, TX	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	2300783	71457
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Beacon Hill Park, Victoria, BC, Canada	4796221	162575
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Discovery Park, Discovery Park Boulevard, Seattle, WA	4723358	153459
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Red Rocks Park, Central Avenue, South Burlington, VT	4813911	159183
Yosemite National Park, CA	Boulder Mountain Park, Boulder, CO	1723514	58919
Grand Teton National Park, Teton County, WY	Congress Street, Portland, ME	3905269	128306
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Indian Island, Eureka, CA	3453015	117683
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Yosemite National Park, CA	2885716	96654
The Queen Mary, Queens Highway, Long Beach, CA	Boulder Mountain Park, Boulder, CO	1744558	59684
The Queen Mary, Queens Highway, Long Beach, CA	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	3125528	99250
Atalaya Mountain, Santa Fe, NM	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1735305	57939
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Boulder Mountain Park, Boulder, CO	2284976	73422
Boulder Mountain Park, Boulder, CO	N Dean St & E Texas St, Marfa, TX 79843	1293269	42849
Cherokee Marsh State Fishery Area, Madison, WI	4919 Cave Run Drive, Houston, TX	1873043	64021
Big Bend National Park, TX	N Dean St & E Texas St, Marfa, TX 79843	219519	10274
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Beacon Hill Park, Victoria, BC, Canada	1921037	72940
113 Mill Creek Road, South Chatham, MA	University of North Carolina at Chapel Hill, Chapel Hill, NC	1237823	43817
10 Witherell Street, Detroit, MI	De las Flores, San Quintin, Mexico	4085334	134458
Lake Superior Brewing Co, West Superior Street, Duluth, MN	University of California, Santa Cruz, High Street, Santa Cruz, CA	3363920	112174
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Discovery Park, Discovery Park Boulevard, Seattle, WA	2689038	89186
Congress Street, Portland, ME	Grand Canyon National Park, AZ	4374508	141767
Trancas Crossing Park, Trancas Street, Napa, CA	Cherry Creek State Park, South Parker Road, Aurora, CO	1997088	64828
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Golden Gate Park, San Francisco, CA	4481021	145041
Lake Tahoe State Park, Nevada 28, Incline Village, NV	N Dean St & E Texas St, Marfa, TX 79843	2202431	72896
Atalaya Mountain, Santa Fe, NM	Catskill Mountains, Shandaken, NY	3259094	108935
Cherry Creek State Park, South Parker Road, Aurora, CO	Mount Whitney, Inyo County, CA	1663008	58837
Bonneville Salt Flats, Tooele County, UT	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3549272	114135
Powell Slough Waterfowl Management Area, Orem, UT	University of California, Santa Cruz, High Street, Santa Cruz, CA	1342400	43665
Trancas Crossing Park, Trancas Street, Napa, CA	Lake Superior Brewing Co, West Superior Street, Duluth, MN	3228176	107244
10 Witherell Street, Detroit, MI	Red Rocks Park, Central Avenue, South Burlington, VT	1057687	36634
10 Witherell Street, Detroit, MI	113 Mill Creek Road, South Chatham, MA	1257184	43201
Grand Teton National Park, Teton County, WY	N Dean St & E Texas St, Marfa, TX 79843	2027365	68636
Cherokee Marsh State Fishery Area, Madison, WI	Boulder Mountain Park, Boulder, CO	1598991	51388
Bonneville Salt Flats, Tooele County, UT	Burnside Bridge, Portland, OR	1186179	40171
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	University of California, Santa Cruz, High Street, Santa Cruz, CA	4519182	145527
University of North Carolina at Chapel Hill, Chapel Hill, NC	University of California, Santa Cruz, High Street, Santa Cruz, CA	4463605	144803
Powell Slough Waterfowl Management Area, Orem, UT	Red Rocks Park, Central Avenue, South Burlington, VT	3706223	124410
University of North Carolina at Chapel Hill, Chapel Hill, NC	Cherokee Park, Cochran Hill Road, Louisville, KY	858820	28785
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1133653	38757
