waypoint1	waypoint2	distance_m	duration_s
Beacon Hill Park, Victoria, BC, Canada	Red Rocks Park, Central Avenue, South Burlington, VT	5064806	175049
University of North Carolina at Chapel Hill, Chapel Hill, NC	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	505368	17608
De las Flores, San Quintin, Mexico	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1172642	45983
Cheatham Wildlife Management Area, Ashland City, TN	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3021477	98055
Burnside Bridge, Portland, OR	Cherokee Park, Cochran Hill Road, Louisville, KY	3716837	121496
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Discovery Park, Discovery Park Boulevard, Seattle, WA	4467971	144873
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Congress Street, Portland, ME	1050664	38641
Powell Slough Waterfowl Management Area, Orem, UT	De las Flores, San Quintin, Mexico	1452563	51424
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Burnside Bridge, Portland, OR	2060164	69044
Grand Teton National Park, Teton County, WY	De las Flores, San Quintin, Mexico	2009488	68997
The Queen Mary, Queens Highway, Long Beach, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	590089	21240
Trancas Crossing Park, Trancas Street, Napa, CA	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	4510799	145572
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3919531	126235
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Millennium Park Path, Grand Rapids, MI	3641845	116439
Atalaya Mountain, Santa Fe, NM	Indian Island, Eureka, CA	2273888	76093
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Zion National Park, Washington County, UT	280061	10123
Discovery Park, Discovery Park Boulevard, Seattle, WA	Golden Gate Park, San Francisco, CA	1317146	46272
10 Witherell Street, Detroit, MI	Cherokee Park, Cochran Hill Road, Louisville, KY	577854	20026
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	The Queen Mary, Queens Highway, Long Beach, CA	4626675	148946
4919 Cave Run Drive, Houston, TX	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3085466	99842
Beacon Hill Park, Victoria, BC, Canada	Congress Street, Portland, ME	5353862	180420
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Yosemite National Park, CA	4241089	138967
Big Sur, Monterey County, CA	Beacon Hill Park, Victoria, BC, Canada	1634051	63972
Cherry Creek State Park, South Parker Road, Aurora, CO	Bonneville Salt Flats, Tooele County, UT	1048587	34274
University of North Carolina at Chapel Hill, Chapel Hill, NC	Golden Gate Park, San Francisco, CA	4534523	146651
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Grand Canyon National Park, AZ	3355627	108542
The Queen Mary, Queens Highway, Long Beach, CA	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	4124583	131560
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Cherokee Park, Cochran Hill Road, Louisville, KY	3011623	95823
Bonneville Salt Flats, Tooele County, UT	University of North Carolina at Chapel Hill, Chapel Hill, NC	3600816	116605
The Queen Mary, Queens Highway, Long Beach, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3381639	107543
2131 West Cortez Street, Chicago, IL	Big Sur, Monterey County, CA	3633469	117664
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Cherokee Park, Cochran Hill Road, Louisville, KY	973458	31547
Indian Island, Eureka, CA	Yosemite National Park, CA	689435	27260
113 Mill Creek Road, South Chatham, MA	Cherokee Marsh State Fishery Area, Madison, WI	1951450	65479
Cheatham Wildlife Management Area, Ashland City, TN	University of California, Santa Cruz, High Street, Santa Cruz, CA	3621128	117347
Millennium Park Path, Grand Rapids, MI	Boulder Mountain Park, Boulder, CO	1890046	60056
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Grand Teton National Park, Teton County, WY	1185725	38180
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Catskill Mountains, Shandaken, NY	1963843	66790
10 Witherell Street, Detroit, MI	Yosemite National Park, CA	3562737	116196
Atalaya Mountain, Santa Fe, NM	University of California, Santa Cruz, High Street, Santa Cruz, CA	1784377	58894
Millennium Park Path, Grand Rapids, MI	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3462998	111466
Indian Island, Eureka, CA	N Dean St & E Texas St, Marfa, TX 79843	2640969	86614
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Powell Slough Waterfowl Management Area, Orem, UT	2030209	67606
Atalaya Mountain, Santa Fe, NM	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	2980943	98095
Cheatham Wildlife Management Area, Ashland City, TN	Red Rocks Park, Central Avenue, South Burlington, VT	1763285	62837
Cherokee Marsh State Fishery Area, Madison, WI	Congress Street, Portland, ME	1989168	66347
Burnside Bridge, Portland, OR	University of North Carolina at Chapel Hill, Chapel Hill, NC	4574787	150073
Catskill Mountains, Shandaken, NY	Discovery Park, Discovery Park Boulevard, Seattle, WA	4632809	151654
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Red Rocks Park, Central Avenue, South Burlington, VT	4260564	140902
Atalaya Mountain, Santa Fe, NM	Big Sur, Monterey County, CA	1730411	59816
De las Flores, San Quintin, Mexico	Catskill Mountains, Shandaken, NY	4814275	163636
University of North Carolina at Chapel Hill, Chapel Hill, NC	Grand Canyon National Park, AZ	3409129	110153
Cheatham Wildlife Management Area, Ashland City, TN	4919 Cave Run Drive, Houston, TX	1268699	43907
2131 West Cortez Street, Chicago, IL	University of North Carolina at Chapel Hill, Chapel Hill, NC	1264448	43657
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	113 Mill Creek Road, South Chatham, MA	5065249	163685
10 Witherell Street, Detroit, MI	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	846056	28638
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Mount Whitney, Inyo County, CA	3283768	106308
The Queen Mary, Queens Highway, Long Beach, CA	Millennium Park Path, Grand Rapids, MI	3519863	112107
113 Mill Creek Road, South Chatham, MA	4919 Cave Run Drive, Houston, TX	3099526	102403
Congress Street, Portland, ME	N Dean St & E Texas St, Marfa, TX 79843	3838952	125139
113 Mill Creek Road, South Chatham, MA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	4154508	136375
Powell Slough Waterfowl Management Area, Orem, UT	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3034381	98474
2131 West Cortez Street, Chicago, IL	Atalaya Mountain, Santa Fe, NM	2050146	69528
Grand Teton National Park, Teton County, WY	Burnside Bridge, Portland, OR	1289464	45151
Cherry Creek State Park, South Parker Road, Aurora, CO	De las Flores, San Quintin, Mexico	2126586	77074
Red Rocks Park, Central Avenue, South Burlington, VT	Yosemite National Park, CA	4561730	153457
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1909183	62097
Beacon Hill Park, Victoria, BC, Canada	Apache Cafe, 3rd Street Northwest, Atlanta, GA	4531707	153984
Cheatham Wildlife Management Area, Ashland City, TN	Millennium Park Path, Grand Rapids, MI	907558	31371
Bonneville Salt Flats, Tooele County, UT	Congress Street, Portland, ME	4158970	133997
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	1135896	40808
Zion National Park, Washington County, UT	Cherokee Park, Cochran Hill Road, Louisville, KY	2758844	89328
Yosemite National Park, CA	N Dean St & E Texas St, Marfa, TX 79843	2037282	66166
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	252349	8225
Cherry Creek State Park, South Parker Road, Aurora, CO	Millennium Park Path, Grand Rapids, MI	1878699	59422
University of North Carolina at Chapel Hill, Chapel Hill, NC	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4293222	138575
Trancas Crossing Park, Trancas Street, Napa, CA	Mount Whitney, Inyo County, CA	646649	25746
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Grand Canyon National Park, AZ	2863248	91913
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Big Sur, Monterey County, CA	1128759	40634
Catskill Mountains, Shandaken, NY	Boulder Mountain Park, Boulder, CO	2906309	95091
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	The Queen Mary, Queens Highway, Long Beach, CA	2171817	68508
2131 West Cortez Street, Chicago, IL	Cherry Creek State Park, South Parker Road, Aurora, CO	1623841	52098
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	349576	12393
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Yosemite National Park, CA	2593572	83210
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Grand Teton National Park, Teton County, WY	2241819	76706
Cherokee Marsh State Fishery Area, Madison, WI	Mount Whitney, Inyo County, CA	3150193	103083
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Yosemite National Park, CA	628543	22354
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Big Sur, Monterey County, CA	321927	14609
University of North Carolina at Chapel Hill, Chapel Hill, NC	Yosemite National Park, CA	4246361	137963
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Bonneville Salt Flats, Tooele County, UT	621113	21418
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	N Dean St & E Texas St, Marfa, TX 79843	632278	20357
Grand Teton National Park, Teton County, WY	Atalaya Mountain, Santa Fe, NM	1411399	48203
113 Mill Creek Road, South Chatham, MA	Burnside Bridge, Portland, OR	5095223	166597
Mount Whitney, Inyo County, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	434237	15981
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Red Rocks Park, Central Avenue, South Burlington, VT	1626766	57271
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Cherokee Park, Cochran Hill Road, Louisville, KY	2602622	82359
Trancas Crossing Park, Trancas Street, Napa, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	843574	28119
Big Bend National Park, TX	Yosemite National Park, CA	2255982	76280
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	N Dean St & E Texas St, Marfa, TX 79843	1501737	48496
Atalaya Mountain, Santa Fe, NM	Congress Street, Portland, ME	3738323	122045
Cherokee Marsh State Fishery Area, Madison, WI	Big Sur, Monterey County, CA	3597273	116319
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3300326	106340
Powell Slough Waterfowl Management Area, Orem, UT	Yosemite National Park, CA	896665	32468
Grand Teton National Park, Teton County, WY	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1319289	45477
Red Rocks Park, Central Avenue, South Burlington, VT	Grand Canyon National Park, AZ	4085452	136396
The Queen Mary, Queens Highway, Long Beach, CA	Powell Slough Waterfowl Management Area, Orem, UT	1067970	33691
Atalaya Mountain, Santa Fe, NM	Boulder Mountain Park, Boulder, CO	677302	22417
Trancas Crossing Park, Trancas Street, Napa, CA	4919 Cave Run Drive, Houston, TX	3135348	98877
Grand Teton National Park, Teton County, WY	Yosemite National Park, CA	1305796	44475
Mount Whitney, Inyo County, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	1583172	59661
De las Flores, San Quintin, Mexico	University of North Carolina at Chapel Hill, Chapel Hill, NC	4359459	141885
Cherry Creek State Park, South Parker Road, Aurora, CO	Golden Gate Park, San Francisco, CA	2055535	67005
Powell Slough Waterfowl Management Area, Orem, UT	N Dean St & E Texas St, Marfa, TX 79843	1639987	55368
Millennium Park Path, Grand Rapids, MI	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1263500	42629
Millennium Park Path, Grand Rapids, MI	Golden Gate Park, San Francisco, CA	3691570	118436
The Queen Mary, Queens Highway, Long Beach, CA	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	188231	7510
De las Flores, San Quintin, Mexico	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4536125	152796
Beacon Hill Park, Victoria, BC, Canada	Discovery Park, Discovery Park Boulevard, Seattle, WA	300054	18039
Trancas Crossing Park, Trancas Street, Napa, CA	N Dean St & E Texas St, Marfa, TX 79843	2252313	71931
The Queen Mary, Queens Highway, Long Beach, CA	Burnside Bridge, Portland, OR	1590031	53564
10 Witherell Street, Detroit, MI	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	3062105	97090
Grand Teton National Park, Teton County, WY	Grand Canyon National Park, AZ	1098155	38238
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2722608	89281
De las Flores, San Quintin, Mexico	Golden Gate Park, San Francisco, CA	1132150	43377
113 Mill Creek Road, South Chatham, MA	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	982190	37062
113 Mill Creek Road, South Chatham, MA	Discovery Park, Discovery Park Boulevard, Seattle, WA	5039950	163866
Trancas Crossing Park, Trancas Street, Napa, CA	Yosemite National Park, CA	270994	12067
4919 Cave Run Drive, Houston, TX	Catskill Mountains, Shandaken, NY	2742645	91715
Congress Street, Portland, ME	Boulder Mountain Park, Boulder, CO	3351168	108171
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Lake Tahoe State Park, Nevada 28, Incline Village, NV	698027	24673
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	1698113	66196
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Zion National Park, Washington County, UT	3526778	116326
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Catskill Mountains, Shandaken, NY	4658108	151473
Big Bend National Park, TX	Congress Street, Portland, ME	3920703	130347
Grand Teton National Park, Teton County, WY	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	1716686	58052
Big Sur, Monterey County, CA	N Dean St & E Texas St, Marfa, TX 79843	2097492	70338
Red Rocks Park, Central Avenue, South Burlington, VT	Cherokee Park, Cochran Hill Road, Louisville, KY	1446535	52164
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Indian Island, Eureka, CA	3381987	113691
Big Sur, Monterey County, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3722398	122309
Atalaya Mountain, Santa Fe, NM	Mount Whitney, Inyo County, CA	1451483	47452
Cherokee Marsh State Fishery Area, Madison, WI	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3099199	99184
Cherokee Park, Cochran Hill Road, Louisville, KY	Yosemite National Park, CA	3365060	111255
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3896775	126387
Zion National Park, Washington County, UT	Grand Canyon National Park, AZ	157852	7255
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	University of California, Santa Cruz, High Street, Santa Cruz, CA	849799	29443
Catskill Mountains, Shandaken, NY	N Dean St & E Texas St, Marfa, TX 79843	3372024	112248
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	2131 West Cortez Street, Chicago, IL	1390895	46995
Cherokee Park, Cochran Hill Road, Louisville, KY	N Dean St & E Texas St, Marfa, TX 79843	2180914	70263
Indian Island, Eureka, CA	Bonneville Salt Flats, Tooele County, UT	1204458	43116
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Burnside Bridge, Portland, OR	2776897	88934
Mount Whitney, Inyo County, CA	Beacon Hill Park, Victoria, BC, Canada	1703318	70808
2131 West Cortez Street, Chicago, IL	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1133533	38214
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3645107	116929
10 Witherell Street, Detroit, MI	Golden Gate Park, San Francisco, CA	3864643	123919
113 Mill Creek Road, South Chatham, MA	Bonneville Salt Flats, Tooele County, UT	4121252	133128
Trancas Crossing Park, Trancas Street, Napa, CA	Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	4752626	153184
Powell Slough Waterfowl Management Area, Orem, UT	Mount Whitney, Inyo County, CA	988985	33187
Cheatham Wildlife Management Area, Ashland City, TN	Beacon Hill Park, Victoria, BC, Canada	4128002	141278
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Boulder Mountain Park, Boulder, CO	1507723	50920
Mount Whitney, Inyo County, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	399163	15867
Grand Teton National Park, Teton County, WY	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	1739072	56461
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	1943821	63426
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Millennium Park Path, Grand Rapids, MI	1571798	52904
Bonneville Salt Flats, Tooele County, UT	Discovery Park, Discovery Park Boulevard, Seattle, WA	1317374	44676
The Queen Mary, Queens Highway, Long Beach, CA	Congress Street, Portland, ME	4980985	160222
Cherry Creek State Park, South Parker Road, Aurora, CO	Congress Street, Portland, ME	3339821	107537
The Queen Mary, Queens Highway, Long Beach, CA	N Dean St & E Texas St, Marfa, TX 79843	1615528	51464
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4190988	135168
4919 Cave Run Drive, Houston, TX	Congress Street, Portland, ME	3167788	104116
De las Flores, San Quintin, Mexico	Yosemite National Park, CA	960964	38248
Millennium Park Path, Grand Rapids, MI	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2889032	91607
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	813908	28843
Grand Teton National Park, Teton County, WY	Powell Slough Waterfowl Management Area, Orem, UT	552138	18900
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Beacon Hill Park, Victoria, BC, Canada	2965232	104872
De las Flores, San Quintin, Mexico	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	4246446	138679
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Bonneville Salt Flats, Tooele County, UT	1017991	34362
Cherokee Marsh State Fishery Area, Madison, WI	Yosemite National Park, CA	3098609	102045
113 Mill Creek Road, South Chatham, MA	Indian Island, Eureka, CA	5309339	174997
Beacon Hill Park, Victoria, BC, Canada	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1322985	56354
The Queen Mary, Queens Highway, Long Beach, CA	Cherokee Marsh State Fishery Area, Madison, WI	3228808	103438
University of North Carolina at Chapel Hill, Chapel Hill, NC	Catskill Mountains, Shandaken, NY	1003127	35655
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Lake Tahoe State Park, Nevada 28, Incline Village, NV	2972617	98752
4919 Cave Run Drive, Houston, TX	Boulder Mountain Park, Boulder, CO	1719648	57579
Cherokee Marsh State Fishery Area, Madison, WI	Beacon Hill Park, Victoria, BC, Canada	3371811	114941
Grand Teton National Park, Teton County, WY	Cherokee Park, Cochran Hill Road, Louisville, KY	2489165	82337
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Big Bend National Park, TX	2565826	84070
Cheatham Wildlife Management Area, Ashland City, TN	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	3348511	107713
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	De las Flores, San Quintin, Mexico	2333577	78316
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Big Sur, Monterey County, CA	795833	30366
2131 West Cortez Street, Chicago, IL	Grand Canyon National Park, AZ	2663794	88045
Trancas Crossing Park, Trancas Street, Napa, CA	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	3141865	102285
Big Bend National Park, TX	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3114619	103135
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	2314605	73250
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Boulder Mountain Park, Boulder, CO	2741471	88310
113 Mill Creek Road, South Chatham, MA	Catskill Mountains, Shandaken, NY	493184	18657
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Boulder Mountain Park, Boulder, CO	2607233	83445
Cheatham Wildlife Management Area, Ashland City, TN	10 Witherell Street, Detroit, MI	895074	30690
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	De las Flores, San Quintin, Mexico	840338	33146
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Big Sur, Monterey County, CA	2653782	87382
113 Mill Creek Road, South Chatham, MA	Yosemite National Park, CA	4813069	157960
4919 Cave Run Drive, Houston, TX	Big Sur, Monterey County, CA	2980527	97284
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	4195310	134997
10 Witherell Street, Detroit, MI	Atalaya Mountain, Santa Fe, NM	2456437	81712
Indian Island, Eureka, CA	University of North Carolina at Chapel Hill, Chapel Hill, NC	4788903	158473
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Boulder Mountain Park, Boulder, CO	2776765	90207
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	N Dean St & E Texas St, Marfa, TX 79843	1758315	56205
De las Flores, San Quintin, Mexico	Big Sur, Monterey County, CA	991590	41881
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	4137486	133558
Cherry Creek State Park, South Parker Road, Aurora, CO	Apache Cafe, 3rd Street Northwest, Atlanta, GA	2250504	71832
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Red Rocks Park, Central Avenue, South Burlington, VT	767674	28349
Indian Island, Eureka, CA	Beacon Hill Park, Victoria, BC, Canada	1067910	47064
Millennium Park Path, Grand Rapids, MI	Grand Canyon National Park, AZ	2918653	95369
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Yosemite National Park, CA	469621	18227
Congress Street, Portland, ME	Red Rocks Park, Central Avenue, South Burlington, VT	411181	13737
Powell Slough Waterfowl Management Area, Orem, UT	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	3526170	115259
De las Flores, San Quintin, Mexico	Mount Whitney, Inyo County, CA	803854	33564
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	N Dean St & E Texas St, Marfa, TX 79843	3032869	97926
2131 West Cortez Street, Chicago, IL	Boulder Mountain Park, Boulder, CO	1635187	52732
Trancas Crossing Park, Trancas Street, Napa, CA	De las Flores, San Quintin, Mexico	1162720	43796
Yosemite National Park, CA	Golden Gate Park, San Francisco, CA	271515	12087
Catskill Mountains, Shandaken, NY	Red Rocks Park, Central Avenue, South Burlington, VT	371317	16495
10 Witherell Street, Detroit, MI	Cherry Creek State Park, South Parker Road, Aurora, CO	2051772	64905
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Boulder Mountain Park, Boulder, CO	1683343	59711
Powell Slough Waterfowl Management Area, Orem, UT	4919 Cave Run Drive, Houston, TX	2265532	79213
Cherokee Park, Cochran Hill Road, Louisville, KY	Discovery Park, Discovery Park Boulevard, Seattle, WA	3788522	122795
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Beacon Hill Park, Victoria, BC, Canada	2468033	89223
Golden Gate Park, San Francisco, CA	N Dean St & E Texas St, Marfa, TX 79843	2221743	71512
Big Bend National Park, TX	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1636448	54625
10 Witherell Street, Detroit, MI	Big Bend National Park, TX	2739741	90390
Cheatham Wildlife Management Area, Ashland City, TN	Yosemite National Park, CA	3403884	110507
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Lake Tahoe State Park, Nevada 28, Incline Village, NV	2886306	93793
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	113 Mill Creek Road, South Chatham, MA	3299187	109597
10 Witherell Street, Detroit, MI	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3636070	116949
Cheatham Wildlife Management Area, Ashland City, TN	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1180333	39438
2131 West Cortez Street, Chicago, IL	4919 Cave Run Drive, Houston, TX	1782426	59849
10 Witherell Street, Detroit, MI	Boulder Mountain Park, Boulder, CO	2063119	65539
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Discovery Park, Discovery Park Boulevard, Seattle, WA	2672265	85577
Powell Slough Waterfowl Management Area, Orem, UT	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1006755	33718
Cheatham Wildlife Management Area, Ashland City, TN	N Dean St & E Texas St, Marfa, TX 79843	1883275	61175
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Golden Gate Park, San Francisco, CA	2778033	88556
Bonneville Salt Flats, Tooele County, UT	Cherokee Park, Cochran Hill Road, Louisville, KY	2742866	88028
2131 West Cortez Street, Chicago, IL	Millennium Park Path, Grand Rapids, MI	284084	10156
Zion National Park, Washington County, UT	Golden Gate Park, San Francisco, CA	1175195	40277
4919 Cave Run Drive, Houston, TX	Golden Gate Park, San Francisco, CA	3104779	98458
Mount Whitney, Inyo County, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3364374	109417
Trancas Crossing Park, Trancas Street, Napa, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	1271390	44181
Atalaya Mountain, Santa Fe, NM	Red Rocks Park, Central Avenue, South Burlington, VT	3449267	116674
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Grand Canyon National Park, AZ	637074	21172
113 Mill Creek Road, South Chatham, MA	Zion National Park, Washington County, UT	4259123	138908
Indian Island, Eureka, CA	4919 Cave Run Drive, Houston, TX	3524004	113560
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Cherokee Park, Cochran Hill Road, Louisville, KY	1513479	50775
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Beacon Hill Park, Victoria, BC, Canada	3698737	132112
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	University of North Carolina at Chapel Hill, Chapel Hill, NC	1391529	47563
Lake Tahoe State Park, Nevada 28, Incline Village, NV	Grand Canyon National Park, AZ	1068392	39280
4919 Cave Run Drive, Houston, TX	University of California, Santa Cruz, High Street, Santa Cruz, CA	3034493	96362
10 Witherell Street, Detroit, MI	Burnside Bridge, Portland, OR	3844892	124833
Red Rocks Park, Central Avenue, South Burlington, VT	N Dean St & E Texas St, Marfa, TX 79843	3562198	119987
113 Mill Creek Road, South Chatham, MA	Big Sur, Monterey County, CA	5311732	172234
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Indian Island, Eureka, CA	1339310	46642
113 Mill Creek Road, South Chatham, MA	Congress Street, Portland, ME	306542	11509
Cheatham Wildlife Management Area, Ashland City, TN	Big Bend National Park, TX	1965025	66384
Congress Street, Portland, ME	Cherokee Park, Cochran Hill Road, Louisville, KY	1735592	57535
Powell Slough Waterfowl Management Area, Orem, UT	Grand Canyon National Park, AZ	549585	20058
Cherry Creek State Park, South Parker Road, Aurora, CO	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2742294	88617
